File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.InventoryConsole\Colours.cs,16,14,10,0,2,0,0,0,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.InventoryConsole\Form1.cs,261,190,131,10,47,0,24,62,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.InventoryConsole\Form1.Designer.cs,39,24,12,1,4,0,11,54,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.InventoryConsole\Program.cs,23,18,11,0,2,0,3,12,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.InventoryConsole\Settings.cs,39,33,19,1,6,0,0,0,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.InventoryConsole\Commands\CommandUtility.cs,43,33,21,5,6,0,4,7,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.InventoryConsole\Commands\JobCommands.cs,205,156,90,34,49,0,0,0,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.InventoryConsole\Commands\PartCommands.cs,201,146,90,31,49,0,6,11,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.InventoryConsole\Commands\ReceiverCommands.cs,460,357,195,79,93,0,10,38,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.InventoryConsole\Commands\ReceiverEntryCommands.cs,14,12,8,0,2,0,0,0,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.InventoryConsole\Commands\Commands\AboutCommand.cs,26,21,15,1,5,0,0,0,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.InventoryConsole\Commands\Commands\CreateHyperLink.cs,37,29,22,1,8,0,0,0,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.InventoryConsole\Commands\Commands\ImportCommand.cs,37,28,21,2,9,0,0,0,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.InventoryConsole\Commands\Commands\XmlExportCommand.cs,58,42,28,1,8,0,8,46,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.InventoryConsole\Console\ConsoleStyle.cs,59,46,25,1,13,0,0,0,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.InventoryConsole\Console\IConsole.cs,32,25,21,0,7,0,0,0,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.InventoryConsole\Console\PackerConsole.cs,355,250,155,31,58,0,47,198,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.InventoryConsole\Extensions\ConsoleExtensions.cs,38,35,22,5,3,0,0,0,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.InventoryConsole\Extensions\ConsoleFlags.cs,10,10,2,0,0,0,0,0,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.InventoryConsole\Extensions\Extensions.cs,41,29,20,3,7,0,5,18,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.InventoryConsole\Extensions\TableExtensions.cs,121,99,50,11,21,0,1,2,0,0
E:\Documents\Projects\Software Projects\AlkonProjects\PackerControlPanel.InventoryConsole\Helpers\ConsoleTable.cs,128,71,44,9,23,0,34,123,0,0
